Language,Index,Content,Tag
Korea,1,지금부터 튜토리얼을 시작하겠습니다.,
Korea,2,먼저 표시된곳을 클릭해 거점을 지어주세요.,
Korea,3,이제 기본적인 규칙에 대해 알아보겠습니다,
Korea,4,매 턴 시작시 손패는 5장이 됩니다.,
Korea,5,현재 턴에 대한 기본적인 정보가 표시됩니다,
Korea,6,한턴의 제한시간은 100초 입니다.,
Korea,7,첫 턴에는 1마리만 소환이 가능합니다. 이후에는 2마리까지 소환 가능합니다,
Korea,8,한턴에 카드는 3장까지 움직일 수 있습니다.,
Korea,9,몬스터 카드는 거점 주변에 소환 할수 있습니다.,
Korea,10,표시된 곳에 몬스터를 소환 해보세요.,
Korea,11,소환된 카드는 다음턴부터 행동이 가능합니다.,
Korea,12,이제 우측 하단의 턴 종료를 눌러 턴을 넘겨주세요.,
Korea,13,이제 몬스터 이동을 해보겠습니다.,
Korea,14,카드는 색칠된 방향으로 이동 가능합니다.,
Korea,15,빨간색으로 색칠된 상하좌우로 이동합니다.,
Korea,16,파란색으로 색칠된 대각선으로 이동합니다.,
Korea,17,전부 색칠된 카드는 모든 방향 이동이 가능합니다.,
Korea,18,이제 캐릭터를 움직여보겠습니다. 소환한 카드를 클릭해서 표시한 곳으로 움직이세요,
Korea,19,소환된 카드를 직접 클릭해서 방향을 확인할 수도 있습니다.,
Korea,20,이제 제물소환에 대해 알아보겠습니다.,
Korea,21,카드의 좌측 하단에 있는 숫자는 카드 레벨입니다.,
Korea,22,상급 카드는 레벨 - 1 개의 제물이 필요합니다.,
Korea,23,우선 1레벨 카드를 하나 소환 합니다.,
Korea,24,이제 2레벨 카드를 소환 하세요.,
Korea,25,카드의 이동 거리는 레벨과 같습니다,
Korea,26,"1레벨은 1칸, 2레벨은 2칸씩 움직입니다.",
Korea,27,턴 종료를 눌러주세요.,
Korea,28,마법카드 사용을 배워보도록 하겠습니다.,
Korea,29,이 카드는 1턴간 전투력을 올려주는 카드입니다.,
Korea,30,가장 우측에 있는 카드를 사용해주세요.,
Korea,31,필드의 표시된 카드를 선택해주세요.,
Korea,32,잘 하셨습니다.,
Korea,33,이제 전투를 배워보도록 하겠습니다.,
Korea,34,이 게임은 기본적으로 전투력끼리 대결을 합니다.,
Korea,35,앞에 있는 카드로 상대 몬스터를 공격 해보세요.,
Korea,36,공격을 하게되면 서로의 전투력을 차감해서 0 이된쪽은 파괴가 됩니다.,
Korea,37,카드 효과로 전투력이 상승한 상태라면 효과가 끝나 전투력이 0 이 된다면 파괴 됩니다.,
Korea,38,턴 종료를 눌러주세요.,
Korea,39,이제 적의 거점을 파괴하세요.,
Korea,40,"카드는 일반, 원거리, 이동 타입이 있습니다.",
Korea,41,일반은 앞서 사용한 카드와 같습니다.,
Korea,42,다른 카드들은 전투시 반격데미지를 2배 받습니다.,
Korea,43,원거리는 이동은 한칸씩만 가능하지만 공격시 반격데미지를 받지 않습니다.,
Korea,44,이동은 이동거리가 1칸 더 길어집니다.,
Korea,45,이제 원거리 몬스터를 사용해보겠습니다.,
Korea,46,오른쪽의 원거리 몬스터를 소환하세요.,
Korea,47,턴을 종료해주세요.,
Korea,48,앞의 카드를 공격해주세요.,
Korea,49,지금처럼 원거리 카드는 공격시 반격 데미지를 받지 않습니다.,
Korea,50,그러나 데미지는 2배로 받고 이동거리는 1칸으로 고정되어 있습니다.,
Korea,51,턴종료를 눌러주세요.,
Korea,52,지금처럼 원거리는 공격받을때 2배의 데미지를 받습니다.,
Korea,53,이제 적의 거점을 파괴하세요.,
English,1,Tutorial Start,
English,2,Please click where it is displayed first for basecamp,
English,3,Explain the basic rules,
English,4,Five cards at the start of the turn,
English,5,This is the information about the turn,
English,6,The turn time limit is 100 seconds,
English,7,"Only one can be summoned on the first turn. After that, you can summon up to two",
English,8,A turn can move up to 3 cards,
English,9,Monster cards can be summoned around the base camp,
English,10,Summon the monster.,
English,11,Monsters can act from the next turn.,
English,12,Press End Turn,
English,13,Explains the monster movement,
English,14,The card can be moved in the colored direction.,
English,15,"Move in the direction colored red. Up, down, left, right",
English,16,Move in the blue colored direction. a diagonal line,
English,17,All colored cards move in eight directions,
English,18,Click and drag the summoned monster,
English,19,You can also check the direction of movement by clicking it.,
English,20,Explain the tribute summon,
English,21,The number in the lower left corner of the card is the card level.,
English,22,The card requires a level - 1 sacrifice,
English,23,"First, I will summon a level 1 card.",
English,24,Now summon the level 2 card.,
English,25,The distance traveled on the card is the same as the level,
English,26,The monster's travel distance is one level and two levels are two.,
English,27,Press End Turn,
English,28,Explain the use of magic cards,
English,29,This card is a card that raises the battle point for one turn.,
English,30,Please use the card on the rightmost side.,
English,31,Select the card mark in the field,
English,32,Great!,
English,33,Explain the battle,
English,34,This game is battle with battle power(BP),
English,35,Attack the opponent's card with the marked card.,
English,36,"When you attack, you subtract each other's BP, and the zero side is destroyed.",
English,37,"If the BP has increased due to the card effect, it will be destroyed if the effect ends and the BP becomes zero.",
English,38,Press End Turn,
English,39,Now destroy the enemy's base camp.,
English,40,"카드는 일반, 원거리, 이동 타입이 있습니다.",
English,41,일반은 앞서 사용한 카드와 같습니다.,
English,42,다른 카드들은 전투시 반격데미지를 2배 받습니다.,
English,43,원거리는 이동은 한칸씩만 가능하지만 공격시 반격데미지를 받지 않습니다.,
English,44,이동은 이동거리가 1칸 더 길어집니다.,
English,45,이제 원거리 몬스터를 사용해보겠습니다.,
English,46,오른쪽의 원거리 몬스터를 소환하세요.,
English,47,턴을 종료해주세요.,
English,48,앞의 카드를 공격해주세요.,
English,49,지금처럼 원거리 카드는 공격시 반격 데미지를 받지 않습니다.,
English,50,그러나 데미지는 2배로 받고 이동거리는 1칸으로 고정되어 있습니다.,
English,51,턴종료를 눌러주세요.,
English,52,지금처럼 원거리는 공격받을때 2배의 데미지를 받습니다.,
English,53,이제 적의 거점을 파괴하세요.,
Korea,54,이곳을 클릭하여 거점을 생성하세요,
English,54,Click here to create a base camp,
Korea,55,이동하세요,
English,55,Move!,
